Customer_ID,Product_ID,Category,Subcategory,Purchase_Amount,Purchase_Quantity,Unit_Price,Purchase_Date,Customer_Purchase_Count,Customer_Total_Spent,Customer_Average_Order
286,25,Beauty,Tools,56.73,2,28.36,2023-09-11,1,56.73,175.47456140350877
102,12,Home & Living,Kitchen,136.26,1,136.26,2023-09-06,1,136.26,249.71690140845072
82,41,Clothing,Shoes,118.04,1,118.04,2023-02-14,1,118.04,208.3291525423729
173,43,Clothing,Dresses,41.95,1,41.95,2024-11-26,1,41.95,279.25916666666666
456,13,Home & Living,Decor,471.1,2,235.55,2023-08-06,1,471.1,307.46829787234043
417,22,Beauty,Makeup,69.41,2,34.7,2024-03-04,1,69.41,318.4668965517242
10,7,Clothing,Pants,85.47,1,85.47,2023-12-23,1,85.47,190.2526984126984
66,36,Beauty,Tools,59.46,1,59.46,2023-11-02,1,59.46,182.63215384615384
135,1,Electronics,Smartphones,1066.27,2,533.13,2023-04-02,1,1066.27,246.42188405797103
337,50,Electronics,Tablets,743.17,1,743.17,2023-11-02,1,743.17,213.14441176470586
165,19,Books,Comics,16.05,1,16.05,2024-01-15,1,16.05,244.03348484848487
350,21,Beauty,Skincare,9.86,1,9.86,2024-11-07,1,9.86,171.97469387755103
314,2,Electronics,Laptops,631.46,1,631.46,2024-06-25,1,631.46,163.25048387096774
423,21,Beauty,Skincare,11.54,1,11.54,2024-03-05,1,11.54,201.1879365079365
153,23,Beauty,Haircare,14.8,1,14.8,2024-12-16,1,14.8,235.21806451612903
41,38,Beauty,Tools,32.62,1,32.62,2024-07-23,1,32.62,139.3010344827586
7,5,Electronics,Accessories,1760.8,2,880.4,2023-12-26,1,1760.8,329.09787234042557
10,3,Electronics,Headphones,108.87,1,108.87,2023-05-19,2,194.34,190.2526984126984
348,24,Beauty,Fragrances,94.51,3,31.5,2023-10-15,1,94.51,253.0618333333333
24,16,Books,Fiction,42.72,2,21.36,2023-07-22,1,42.72,155.22903225806454
399,49,Clothing,Dresses,125.64,2,62.82,2024-09-06,1,125.64,258.8383606557377
140,31,Clothing,Shoes,75.49,1,75.49,2023-10-19,1,75.49,188.49542372881356
